Player,Rounds Played,Rating,Average Combat Score,Kills/Deaths,"Kills, Assists, Trades, Survive %",Average Damage/Round,Kills/Round,Assits/Round,First Kills/Round,First Deaths/Round,Headshot %,Clutch Sucess %
"Sacy
SEN",361,1.01,190.1,0.9,74%,128.8,0.61,0.45,0.07,0.08,23%,21%
"Sayf
VIT",151,1.01,210,1.03,67%,139.1,0.72,0.22,0.11,0.17,27%,20%
"Shyy
KRÜ",156,1.07,211.1,1.16,69%,139.9,0.78,0.26,0.13,0.12,27%,24%
"Smoggy
EDG",449,1.14,213.1,1.21,76%,133.8,0.76,0.37,0.06,0.06,28%,15%
"something
PRX",140,0.93,205,0.93,69%,133.7,0.69,0.26,0.13,0.14,28%,6%
"t3xture
GEN",153,1.14,242.6,1.17,69%,157.2,0.84,0.18,0.18,0.14,25%,19%
"TenZ
SEN",361,1.1,213.4,1.08,75%,139.2,0.75,0.44,0.07,0.09,25%,5%
"tex
LEV",407,0.88,194.5,0.91,67%,130,0.69,0.19,0.12,0.14,33%,16%
"trent
G2",200,0.96,195.9,0.89,68%,132.5,0.65,0.31,0.09,0.11,30%,10%
"trexx
VIT",151,1.23,228,1.24,72%,155,0.81,0.34,0.09,0.07,23%,14%
"valyn
G2",200,0.99,191.2,0.99,72%,118.4,0.7,0.34,0.07,0.07,23%,18%
"whzy
Toe",78,0.92,245.3,0.91,65%,150.9,0.79,0.21,0.18,0.23,22%,
"Wo0t
TH",552,0.99,189.6,0.97,75%,124.2,0.66,0.39,0.07,0.09,36%,18%
"yetujey
FUT",88,1.07,231.8,1.14,69%,145,0.82,0.18,0.19,0.08,30%,
"Yosemite
BLG",78,0.61,127,0.52,55%,84.8,0.4,0.23,0.05,0.1,25%,
"zekken
SEN",361,1.12,252.2,1.17,71%,161,0.89,0.26,0.2,0.18,23%,27%
"Zellsis
SEN",361,0.98,175.1,0.93,73%,111.8,0.61,0.41,0.07,0.09,23%,14%
"ZmjjKK
EDG",449,1.1,250.8,1.2,69%,160.6,0.88,0.21,0.23,0.19,24%,17%
